date,message
2022-04-29,"Спутниковый снимок от 29 апреля, база ЧФ РФ в Севастополе, подлодка проекта 636 Варшавянка. Происходит процесс погрузки, предположительно ракетами ""Калибр""  флот Снимок от 27 апреля, база ВМФ РФ Гаджиево. 5 субмарин, ПЛАРБ/РПКСН имеющие возможность нести ядерные боеголовки, находятся на своих привычных местах. Никаких изменений на объекте не наблюдается.  ЯО флот"
2022-04-30,"Координаты места, откуда был произведён запуск ракет Оникс берегового комплекса Бастион-П по аэропорту в Одессе. 45.39011174000645, 32.49325550950899  СРЗО Разведывательная деятельность авиации США в Черноморском регионе RQ-4B Global Hawk (FORTE-10/11-2046) и CL-60 (BRIO-68) сейчас в воздухе  авіація"
2022-05-01,UPD.  - Два БДК находятся у западного берега Крыма. - 3х артиллерийских катера в заливе Донузлав. - 4х десантных катера в заливе Донузлав.  Такое скопление десантных кораблей может свидетельствовать о подготовке экипажей к подобным операциям.  флот
2022-05-02,"UPD. Местоположение подбитых катеров Два катера ""Раптор"" уничтожены у берегов острова Змеиный при помощи Байрактаров — Суспільне  флот"
2022-05-03, Вылет стратегических бомбардировщиков ТУ-95мс. Есть вероятность запуска крылатых ракет со стороны Саратова / Каспийского моря.
2022-05-04," 21:26 Подлодка проекта 636 ""Варшавянка"" вышла из бухты Севастополя.  Сообщают о вылетах в сторону Николаева.  UPD. Обстреливают из РСЗО"
2022-05-05," Вероятно цели на западе Украины. Львов, Закарпатье - не игнорируйте тревогу. 3:23 Запуск крылатых ракет х-101 над Каспийским морем."
2022-05-06,"Запуск ракет Х-22 двумя Ту-22М3 над Черным морем вблизи Крымского полуострова.    Запуск ракет ""Калибр"" из акватории Черного моря.    Запуск ракет. Возможны тревоги по областям."
2022-05-07,"Со слов Минобороны рф 8-го мая «подразделения ВСУ нанесут удары ОТР «Точка-У» по местам скопления людей в населенных пунктах Львовской и Волынской областей, как это уже было на железнодорожном вокзале в Краматорске».   Беларускі Гаюн сообщает, что 6‑го мая «по трассе М-1 недалеко от Баранович в сторону Бреста стояла колонна техники. Среди техники были возможно 2 Точки У, также несколько грузовых автомобилей. Также ЗИЛ и легковой автомобиль двигались со стороны Бреста в сторону этой колонны»  У ОТРК Точка-У максимальная дальность - 120 км. У усовершенствованной версии Искандер может достигать - 500 км. На карте обозначены примерные зоны, куда могут доставать снаряды как Точки-У, так и Искандера.  При любых обстоятельствах лучше не игнорировать воздушную тревогу и не находиться возле инфраструктурных объектов.   UPD. На подлёте к Крыму выключил транспондер.  Грузовой Ил-76МД сейчас над акваторией Черного моря. Может лететь в направлении Крыма или Приднестровья.  авіація"
2022-05-08," Вероятный запуск ракет авиацией со стороны Беларуси. Запуск ракет Калибр из акватории Черного моря. Запуск ракет с Ту-95мс, над акваторией Каспийского моря.  Повышенная активность стратегической авиации РФ в радио-эфире. Вероятен скорый вылет Ту-95мс и запуск крылатых ракет над акваторией Каспийского моря. Запуск ракет с Ту-95мс, над акваторией Каспийского моря. У стратегической авиации проблемы со связью сейчас.  Активность стратегической авиации РФ в радио-эфире. Вероятен скорый вылет Ту-95мс и запуск крылатых ракет над акваторией Каспийского моря."
