region,region_id_api,center_city_ua,center_city_en,region_alt,region_id
Київська,31,Київ,Kyiv,Київщина,10
Кіровоградська,15,Кропивницький,Kropyvnytskyi,Кіровоградщина,11
Полтавська,19,Полтава,Poltava,Полтавщина,16
АР Крим,9999,Сімферополь,Simferopol,Крим,1
Черкаська,24,Черкаси,Cherkasy,Черкащина,23
Закарпатська,11,Ужгород,Uzhgorod,Закарпаття,7
Донецька,28,Донецьк,Donetsk,Донеччина,5
Миколаївська,17,Миколаїв,Mykolaiv,Миколаївщина,14
Сумська,20,Суми,Sumy,Сумщина,18
Волинська,8,Луцьк,Lutsk,Волинь,3
Херсонська,23,Херсон,Kherson,Херсонщина,21
Івано-Франківська,13,Івано-Франківськ,Ivano-Frankivsk,Івано-Франківщина,9
Одеська,18,Одеса,Odesa,Одещина,15
Хмельницька,3,Хмельницький,Khmelnytskyi,Хмельниччина,22
Вінницька,4,Вінниця,Vinnytsia,Вінниччина,2
Тернопільська,21,Тернопіль,Ternopil,Тернопільщина,19
Чернігівська,25,Чернігів,Chernihiv,Чернігівщина,25
Рівненська,5,Рівне,Rivne,Рівненщина,17
Чернівецька,26,Чернівці,Chernivtsi,Буковина,24
Луганська,16,Луганськ,Luhansk,Луганщина,12
Львівська,27,Львів,Lviv,Львівщина,13
Житомирська,10,Житомир,Zhytomyr,Житомирщина,6
Харківська,22,Харків,Kharkiv,Харківщина,20
Запорізька,12,Запоріжжя,Zaporozhye,Запоріжжя,8
Дніпропетровська,9,Дніпро,Dnipro,Дніпропетровщина,4
